1.000000 0.000000 0.000000
0.000000 1.000000 0.000000
0.000000 0.000000 1.000000
1.000000 0.000000 0.000000 0.000000
0.000000 1.000000 0.000000 0.000000
0.000000 0.000000 1.000000 0.000000
0.999478 0.032182 0.003603 -0.009075
-0.032182 0.999912 0.029248 0.009465
-0.003603 0.029248 1.000423 -0.018334
0.999821 0.013931 -0.013252 -0.032058
-0.013509 0.999947 0.010153 -0.007670
0.013169 0.009685 0.999965 0.005805
0.999127 -0.000994 -0.041879 0.008799
0.001662 1.000087 0.014536 -0.016377
0.041999 0.013487 0.999223 0.012838
0.999032 0.001185 -0.044076 0.007053
-0.000067 0.999993 0.004517 -0.019569
0.044180 0.003556 0.999043 0.020087
0.998144 0.009625 -0.060282 -0.012302
-0.008112 0.999954 -0.002956 -0.026772
0.060346 -0.003553 0.998197 0.025765
0.996837 0.020332 -0.076272 -0.020810
-0.020395 1.000016 0.022215 -0.002858
0.076598 0.022181 0.997305 0.042434
0.995306 0.016081 -0.095864 0.008333
-0.013615 0.999889 -0.004586 -0.022658
0.095757 -0.005419 0.995425 0.036050
0.995473 0.026805 -0.092281 -0.001024
-0.022966 0.999890 -0.019199 -0.018958
0.091975 -0.019017 0.995970 0.016068
0.994434 0.044388 -0.097422 -0.018183
-0.039627 0.999668 -0.030867 -0.023690
0.097099 -0.029224 0.995807 0.032809
